TRSC #,Unnamed: 0,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE,closed_date
6475911,3369,FAS,Pernod,6/16/2021,6/18/2021,35133,绝对亦乐伏特加 6 X 150CL,Order Pick,Paid Normal,42022782,,,,,,1-22-A-33,SHIP-1,6,BT,9/17/2013  12:00:00 AM,Order Pick,A-FAS,20210618
6475915,3370,FAS,Pernod,6/17/2021,6/18/2021,DBCP14,拉菲罗斯柴尔德珍宝波亚克法定产区干红葡萄酒 6 X 75CL,Order Pick,Paid Normal,42022781,,,,,,FS-68-A-017,SHIP-1,7,BT,6/6/2016  12:00:00 AM,Order Pick,A-FAS,20210618
6475919,3378,FAS,Pernod,6/17/2021,6/18/2021,DBL517,传奇源自拉菲罗斯柴尔德苏玳甜葡萄酒 6 X 75CL,Order Pick,Paid Normal,31957407,,,,,,FS-68-C-019,SHIP-1,60,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475921,3379,FAS,Pernod,6/17/2021,6/18/2021,DBS217,传说源自拉菲罗斯柴尔德梅多克红葡萄酒 6 X 75CL,Order Pick,Paid Hold,31957407,,,,,,2-31-A-02,SHIP-1,60,BT,9/26/2019  12:00:00 AM,Order Pick,A-FAS,20210618
6475923,3380,FAS,Pernod,6/17/2021,6/18/2021,PJ2721,美丽时光·巴黎艺术经典香槟 6 X 75CL,Order Pick,Jin2 Normal,31957407,,,,,,FS-62-A-017,SHIP-1,60,BT,1/5/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475927,3377,FAS,Pernod,6/17/2021,6/18/2021,PJ2721,美丽时光·巴黎艺术经典香槟 6 X 75CL,Order Pick,Jin2 Normal,31957382,,,,,,FS-62-A-017,SHIP-1,30,BT,1/5/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475931,3374,FAS,Pernod,6/17/2021,6/18/2021,15558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957357,ONEYLIVB07974900,,20016064,383716,,2-32-A-31,SHIP-1,3,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475933,3375,FAS,Pernod,6/17/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957357,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,5,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475935,3376,FAS,Pernod,6/17/2021,6/18/2021,11468,芝华士12年苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957357,ONEYLIVB07960400,,20015528,383727,,2-37-B-18,SHIP-1,20,BT,2/1/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475937,3373,FAS,Pernod,6/17/2021,6/18/2021,LMN206,朗摩单一麦芽苏格兰威士忌16年陈酿 3 X 70CL,Order Pick,Jin2 Normal,31957357,,,,,,1-24-B-27,SHIP-1,3,BT,2/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475941,3390,FAS,Pernod,6/17/2021,6/18/2021,DBR2N7,拉菲罗斯柴尔德珍藏梅多克法定产区红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,31957356,,,,,,5-02-B-06,SHIP-1,6,BT,3/25/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475943,3389,FAS,Pernod,6/17/2021,6/18/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,31957356,,,,,,4-14-C-22,SHIP-1,6,BT,11/25/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475947,3386,FAS,Pernod,6/17/2021,6/18/2021,CP1114,帝国田园珍藏干红葡萄酒 12 X 75CL,Order Pick,Jin2 Normal,31957355,,,,,,3-12-A-08,SHIP-1,12,BT,12/20/2018  3:44:28 PM,Order Pick,A-FAS,20210618
6475949,3387,FAS,Pernod,6/17/2021,6/18/2021,MK0610,猴王47黑森林楒洛金酒风味配制酒 6 X 50CL,Order Pick,Jin2 Normal,31957355,,,,,,2-26-B-06,SHIP-1,6,BT,8/27/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475951,3385,FAS,Pernod,6/17/2021,6/18/2021,CP2222,帝国田园特别珍藏干红葡萄酒 12 X 75CL,Order Pick,Jin2 Normal,31957355,EGLV571100003142,,39202062,293449,,FS-52-A-006,SHIP-1,12,BT,9/24/2018  12:00:00 AM,Order Pick,A-FAS,20210618
6475953,3388,FAS,Pernod,6/17/2021,6/18/2021,MK0510,猴王47黑森林干金酒风味配制酒 6 X 50CL,Order Pick,Jin2 Normal,31957355,YMLUN651079431,,39202329,295311,DEM-CNS-2102-0057,2-29-D-20,SHIP-1,6,BT,1/19/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475957,3383,FAS,Pernod,6/16/2021,6/18/2021,15560,格兰威特单一麦芽苏格兰威士忌25年陈酿 3 X 70CL,Order Pick,Jin2 Normal,31957353,,,,,,2-41-B-24,SHIP-1,3,BT,2/26/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475959,3384,FAS,Pernod,6/16/2021,6/18/2021,9627,马爹利尚选XXO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Hold,31957353,,,,,,2-29-B-31,SHIP-1,1,BT,2/23/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475963,3381,FAS,Pernod,6/16/2021,6/18/2021,DBL4N6,传奇源自拉菲罗斯柴尔德圣爱美乐红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,31957348,,,,,,FS-68-C-016,SHIP-1,12,BT,2/18/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475965,3382,FAS,Pernod,6/16/2021,6/18/2021,DBS118,传说源自拉菲罗斯柴尔德波尔多白葡萄酒 6 X 75CL,Order Pick,Paid Normal,31957348,,,,,,3-10-B-21,SHIP-1,12,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475969,3395,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957337,,,,,,2-39-C-01,SHIP-1,7,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475973,3394,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957336,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,6,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475975,3393,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957336,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,6,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475977,3392,FAS,Pernod,6/17/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957336,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475981,3398,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957334,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475985,3397,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957328,,,,,,2-39-C-01,SHIP-1,23,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475989,3396,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957327,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475993,3391,FAS,Pernod,6/17/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957326,,,,,,2-25-B-06,SHIP-1,24,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475997,3409,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957325,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6476001,3408,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957321,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,3,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476003,3407,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957321,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,6,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476007,3403,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957318,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,1,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476009,3406,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,1,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476011,3405,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,1,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476013,3404,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,1,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476017,3401,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,1,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476019,3402,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,1,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476021,3400,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,1,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476023,3399,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957314,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,1,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476027,3415,FAS,Pernod,6/16/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957269,,,,,,2-25-B-06,SHIP-1,24,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476029,3414,FAS,Pernod,6/16/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957269,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476033,3413,FAS,Pernod,6/16/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957261,,,,,,2-25-B-06,SHIP-1,12,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476037,3412,FAS,Pernod,6/16/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957259,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476039,3411,FAS,Pernod,6/16/2021,6/18/2021,15558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957259,ONEYLIVB07974900,,20016064,383716,,2-32-A-31,SHIP-1,12,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476043,3410,FAS,Pernod,6/16/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957240,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,24,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
